params,exceeds_budget,offset_ns,transformer_flagged,rf_flagged,openset_flagged
"{""duration_s"":3.0,""forged_fields"":[""sequence_id""],""injection_cadence_s"":0.04,""magnitude_ns"":40.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":0.0,""replay_depth"":1,""seed"":1588}",False,18.581468311207402,False,False,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id"",""origin_timestamp""],""injection_cadence_s"":0.04,""magnitude_ns"":40.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":0.0,""replay_depth"":2,""seed"":1589}",True,108.01764986598621,False,False,True
"{""duration_s"":3.0,""forged_fields"":[""sequence_id""],""injection_cadence_s"":0.04,""magnitude_ns"":40.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":30.0,""replay_depth"":3,""seed"":1590}",False,16.97750082621436,False,False,True
"{""duration_s"":3.0,""forged_fields"":[""sequence_id"",""origin_timestamp""],""injection_cadence_s"":0.04,""magnitude_ns"":40.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":30.0,""replay_depth"":1,""seed"":1591}",True,293.665957211059,False,True,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id""],""injection_cadence_s"":0.1,""magnitude_ns"":40.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":0.0,""replay_depth"":2,""seed"":1592}",False,14.768729851443428,False,False,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id"",""origin_timestamp""],""injection_cadence_s"":0.1,""magnitude_ns"":40.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":0.0,""replay_depth"":3,""seed"":1593}",False,69.43905569379906,False,False,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id""],""injection_cadence_s"":0.1,""magnitude_ns"":40.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":30.0,""replay_depth"":1,""seed"":1594}",False,18.778034337073805,False,False,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id"",""origin_timestamp""],""injection_cadence_s"":0.1,""magnitude_ns"":40.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":30.0,""replay_depth"":2,""seed"":1595}",True,167.48106044457768,False,True,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id""],""injection_cadence_s"":0.2,""magnitude_ns"":40.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":0.0,""replay_depth"":3,""seed"":1596}",False,19.455200710145768,False,False,False
"{""duration_s"":3.0,""forged_fields"":[""sequence_id"",""origin_timestamp""],""injection_cadence_s"":0.2,""magnitude_ns"":40.0,""onset_s"":2.0,""ramp_rate_ns_per_s"":0.0,""replay_depth"":1,""seed"":1597}",False,54.19029442998087,False,False,False
